Market,Address,City,County,ZIP,Contact,Phone,Phone check,Website,Website check,Resolved address,Season,Hours,SNAP,FMNP,Duplicate of,Source,Accessed
Genesee Country Tuesday Farmers' Market,School Street and Jackson Street,Batavia,Genesee,14020,Rebecca Grela,(716) 870-3828,Valid 10-digit number,,No website listed,,June 9-October 27,Tue 8am-4pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Genesee",2026-09-08
Bergen Harvest Farmers' Market,1 Hickory Way,Bergen,Genesee,14416,Rene' Vurraro,(585) 494-1513,Valid 10-digit number,,No website listed,,July 7-September 29,Tue 3pm-6pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Genesee",2026-09-08
Corfu Farmers Market,63 Alleghany Road,Corfu,Genesee,14036,Paula Trapani,(716) 423-1907,Valid 10-digit number,,No website listed,,July 6-September 21,Mon 4pm-7pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Genesee",2026-09-08
LeRoy Farmers' Market,Trigon Park,Le Roy,Genesee,14482,Andres Manamon,(562) 400-0398,Valid 10-digit number,http://www.leroyfarmersmarket.wordpress.com,OK (redirects),https://leroyfarmersmarket.wordpress.com/,June 6-October 3,Sat 9am-12pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Genesee",2026-09-08
J & W Farm Stand,7971 Vallance Road,LeRoy,Genesee,14482,Wayne Dries,(585) 813-1569,Valid 10-digit number,,No website listed,,July 1-October 15,"Sun-Fri 8am-6pm, Sat 8am-8pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Genesee",2026-09-08
Oatka Creek Farm Stand,8064 Oatka Trail,LeRoy,Genesee,14482,Carolyn Fitzgerald,(716) 864-2003,Valid 10-digit number,,No website listed,,May 5-October 27,Tue 4:30pm-6pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Genesee",2026-09-08
Kirby's Farm Stand,9739 Ridge Rd,Brockport,Monroe,14420,Linda Kirby,(585) 637-2600,Valid 10-digit number,http://www.kirbysfm.com,OK (redirects),http://kirbysfm.com/,May 1-December 24,Daily 10am-6pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Fairport Apartments,1030 Whitney Road E,Fairport,Monroe,14450,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Thu 10:30am-11:15am,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Cornerstone Pointe,3 GBC Parkway,Greece,Monroe,14626,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Mon 1:15pm-2pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Brightlys Farms Farm Stand,525 Drake Road,Hamlin,Monroe,14464,Betsy Brightly,(585) 636-4337,Valid 10-digit number,http://www.brightlyfarms.com,OK (redirects),https://brightlyfarms.com/,Year-round,Mon-Sat 9am-5pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-ESLC Rockwood Ctr,3833 E Henrietta Rd,Henrietta,Monroe,14467,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Fri 10:30am-11:15am,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Rochester View Apartments,4365 W Henrietta Road,Henrietta,Monroe,14467,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Wed 3:30pm-4pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Partyka Farms Farm Stand,1420 County Line Road,Kendall,Monroe,14476,Lora Partyka,(585) 752-0258,Valid 10-digit number,http://www.partykafarms.com,OK (redirects),https://www.partykafarms.com/,Year-round,Daily 9am-9pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Brighton Farmers' Market,150 Sawgrass Drive,Rochester,Monroe,14620,Abby Merz,(585) 784-5264,Valid 10-digit number,http://www.brightonfarmersmarket.org,Unreachable (connection failed),,April 26-November 22,Sun 9am-1pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Brighton WINTER Farmers' Market,1435 Westfall Rd Rochester,Rochester,Monroe,14618,Sue Gardner-Smith,(585) 269-8918,Valid 10-digit number,http://www.brightonfarmersmarket.org,Unreachable (connection failed),,November 20-April 19,Sun 10am-1pm,Yes,No,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Abraham Lincoln Apartments,355 N Park Dr,Rochester,Monroe,14609,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Tue 11:45am-12:15pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Andrews Terrace,125 Saint Paul Street,Rochester,Monroe,14604,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Wed 2pm-3pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Arnett Library,310 Arnett Boulevard,Rochester,Monroe,14619,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Wed 11:30am-12:15pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Blackwell Estates,5 Antoinette Drive,Rochester,Monroe,14623,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Fri 11:30am-12:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Carriage Factory Apts,33 Litchfield Street,Rochester,Monroe,14608,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Tue 2pm-3pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Center City Courtyard,99 West Main Street,Rochester,Monroe,14614,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Sat 2:30pm-3:30pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Charlotte Harbortown (Lake Ave),4575 Lake Avenue,Rochester,Monroe,14612,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Fri 2:15pm-3:15pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Charlotte Harbortown (River St),60 River Street,Rochester,Monroe,14612,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Fri 3:30pm-4:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Community Place,145 Parsells Avenue,Rochester,Monroe,14609,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Fri 11:45am-12:30pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-DHS Westfall,111 Westfall Rd.,Rochester,Monroe,14620,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Thu 10:30am-11:15am,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Danforth Towers,140 West Avenue,Rochester,Monroe,14611,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Tue 3:30pm-4:15pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-DePaul Ridgeview,109 Marburger Street,Rochester,Monroe,14621,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Wed 4pm-4:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Dunn Towers,100 Dunn Tower Drive,Rochester,Monroe,14606,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Mon 2:30pm-3:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Durand Senior Apartments,4250 Culver Rd,Rochester,Monroe,14622,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Fri 10:15am-11:15am,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-ESLC East Ave,270 East Avenue,Rochester,Monroe,14604,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Tue 12pm-12:45pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Eastman Reserve Apts,303 Eastman Avenue,Rochester,Monroe,14615,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Thu 3:45pm-4:30pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Gateway Apartments,345 Spencerport Road,Rochester,Monroe,14606,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Mon 3:45pm-4:15pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Hall of Justice,99 Exchange Boulevard,Rochester,Monroe,14608,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Mon 2pm-3:15pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Irondequoit Meadow Reserve,100 Hulda Park,Rochester,Monroe,14609,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Tue 2:30pm-3:15pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-James Dobson Apartments,150 Van Auker Street,Rochester,Monroe,14608,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Sat 12pm-1pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Keeler Park Apartments,501 Seneca Manor Dr.,Rochester,Monroe,14621,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Wed 2:30pm-4pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Kennedy Towers,666 South Plymouth Ave,Rochester,Monroe,14608,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Mon 3:30pm-4:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Lake Tower Apartments,321 Lake Ave.,Rochester,Monroe,14608,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Tue 10:30am-11:30am,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-LifeSpan Wolk Caf�,25 Franklin Street,Rochester,Monroe,14604,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Mon 12:30pm-1:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Long Pond Sr Housing,1230 Long Pond Road,Rochester,Monroe,14626,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Mon 12:30pm-1pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Manhattan Sq Family Medicine,454 E Broad St,Rochester,Monroe,14607,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Thu 2pm-3pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Maplewood YMCA,25 Driving Park Ave,Rochester,Monroe,14613,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Wed 12:15pm-1:15pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Marketplace Senior Apts,1100 Miracle Mile Drive,Rochester,Monroe,14623,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Fri 2:15pm-3pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Midvale Commons,2770 Baird Road,Rochester,Monroe,14450,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Thu 11:30am-12:15pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-OACES Family Learning Ctr,30 Hart Street,Rochester,Monroe,14605,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Fri 2:30pm-3:15pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Pinnacle Place Apartments,919 South Clinton Ave,Rochester,Monroe,14620,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Wed 10:30am-11:45am,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Plymouth Gardens,1400 S Plymouth Ave.,Rochester,Monroe,14611,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Fri 11:30am-12:45pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Refugees Helping Refugees,228 South Plymouth Avenue,Rochester,Monroe,14608,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Wed 2:45pm-3:30pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Rochester Highlands,47 Green Knolls Dr,Rochester,Monroe,14620,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org/CurbsideMarket,OK (redirects),https://foodlinkny.org/program/curbside-market/,Year-round,Fri 3:30pm-4:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Rochester Psychiatric Ctr,1111 Elmwood Avenue,Rochester,Monroe,14620,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Fri 10:30am-11:15am,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Seneca Towers,200 Seth Green St,Rochester,Monroe,14621,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Tue 11:45am-12:45pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Skyview Park Apts,200 Skyview Park Ctr,Rochester,Monroe,14622,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Tue 3:30pm-4:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-St. Ann's Adult Day Center,1500 Portland Avenue,Rochester,Monroe,14621,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Tue 10:30am-11:30am,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-St. Bernard Park Apts,2260 Lake Ave.,Rochester,Monroe,14612,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Fri 3:45pm-4:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Tailor Square Apartments,1155 North Clinton Avenue,Rochester,Monroe,14621,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Tue 4pm-4:45pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-The Hamilton Apts,185 Mount Hope Avenue,Rochester,Monroe,14620,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Sat 10:30am-11:45am,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-The Hub at Elite,919 Culver Road,Rochester,Monroe,14609,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Thu 11:45am-12:30pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Thurston Road YMCA,597 Thurston Rd,Rochester,Monroe,14619,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Wed 10:30am-11:15am,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-University Tower,625 University Avenue,Rochester,Monroe,14607,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Thu 2:45pm-3:15pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-VOC Liberty Landing Apts,185 Scio St,Rochester,Monroe,14605,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Thu 2pm-2:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-Winton Gardens Towers,2052 East Main St,Rochester,Monroe,14609,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Tue 2:30pm-3:30pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Curbside Market-YWCA Apartments,175 North Clinton Ave,Rochester,Monroe,14604,Mitch Gruber,(585) 328-3380,Valid 10-digit number,http://www.foodlinkny.org,OK (redirects),https://foodlinkny.org/,Year-round,Thu 3:15pm-4:15pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Greece Ridge Mall Sat Farmers' Market,271 Greece Ridge Center Drive,Rochester,Monroe,14626,Owen Hetherington,(585) 225-1140,Valid 10-digit number,http://www.themallatgreeceridge.com,OK (redirects),https://www.themallatgreeceridge.com/,June 6-October 24,Sat 8am-2pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Greece Ridge Mall Thu Farmers' Market,271 Greece Ridge Center Drive,Rochester,Monroe,14626,Owen Hetherington,(585) 225-1140,Valid 10-digit number,http://www.themallatgreeceridge.com,OK (redirects),https://www.themallatgreeceridge.com/,June 4-November 21,Thu 8am-2pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Rochester Public Market - Saturday,280 North Union St.,Rochester,Monroe,14609,Robert Sharman,(585) 428-6907,Valid 10-digit number,http://www.cityofrochester.gov/publicmarket,OK (redirects),https://www.cityofrochester.gov/departments/department-recreation-and-human-services-drhs/public-market,Year-round,Sat 6am-3pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Rochester Public Market - Thursday,280 North Union St.,Rochester,Monroe,14609,Robert Sharman,(585) 428-6907,Valid 10-digit number,http://www.cityofrochester.gov/publicmarket,OK (redirects),https://www.cityofrochester.gov/departments/department-recreation-and-human-services-drhs/public-market,Year-round,Thu 6am-1pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Rochester Public Market - Tuesday,280 North Union St.,Rochester,Monroe,14609,Robert Sharman,(585) 428-6907,Valid 10-digit number,http://www.cityofrochester.gov/publicmarket,OK (redirects),https://www.cityofrochester.gov/departments/department-recreation-and-human-services-drhs/public-market,Year-round,Tue 6am-1pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Westside Farmers' Market,831 Genesee St,Rochester,Monroe,14611,Jessica DiSalvo,(585) 210-3422,Valid 10-digit number,http://www.westsidemarketrochester.com,OK (redirects),https://www.westsidemarketrochester.com/,June 2-October 6,Tue 4pm-7pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Market 1892 Farm Stand,3334 Brockport Spencerport Road,Spencerport,Monroe,14559,Brook DeConinck,(585) 363-4785,Valid 10-digit number,,No website listed,,Year-round,"Mon-Fri 9am-6pm, Sat/Sun 8am-5pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Webster's Joe Obbie Farmers' Market,1034 Ridge Road,Webster,Monroe,14580,Jason Bliek,(585) 261-1533,Valid 10-digit number,http://www.websterfarmersmarket.org,OK (redirects),https://websterfarmersmarket.org/,June 13-October 31,Sat 8:30am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Monroe",2026-09-08
Human Farms & Greenhouse Farm Stand,2853 Hess Rd,Appleton,Niagara,14008,Ronald Human,(716) 531-2820,Valid 10-digit number,,No website listed,,May 6-November 30,"Mon-Sat 10am-6pm , Sun 12pm-6pm",Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
Harris Farm Market Farm Stand,8475 Ridge Rd,Gasport,Niagara,14067,Victoria Harris,(716) 772-5229,Valid 10-digit number,,No website listed,,May 1-October 31,Daily 9am-7pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
Schwab Farm Stand,9035 Rochester Rd,Gasport,Niagara,14067,Carol Schaal,(716) 735-7570,Valid 10-digit number,http://www.schwabsfarm.com,OK (redirects),https://schwabsfarm.com/,Year-round,"Mon-Sat 8am-5pm, Sun 9am-3pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
Lockport Community Farmers' Market,69 Canal Street,Lockport,Niagara,14094,Grace Platt,(716) 434-0212,Valid 10-digit number,http://www.discoverlockport.com/lockport-community-farmers-market,OK (redirects),https://www.discoverlockport.com/lockport-community-farmers-market,May 16-October 24,Sat 9am-2pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
Lockport Community WINTER Farmers' Market,210 Walnut Street,Lockport,Niagara,14094,Grace Platt,(716) 434-0212,Valid 10-digit number,https://www.discoverlockport.com/lockport-community-farmers-market,OK,,November-May 2026,1st & 3rd Sat 10am-2pm,Yes,No,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Niagara",2026-09-08
